"Production Number","Production Name",URL
58440,"Shoresy - Season 2",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58440&action_productionview2=Submit
58467,"The Fabric of Christmas",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58467&action_productionview2=Submit
58479,"Freaky Tales",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58479&action_productionview2=Submit
58480,"Maybe It's You",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58480&action_productionview2=Submit
58485,Thanksgiving,https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58485&action_productionview2=Submit
58486,"Me, My Mom & Sharmila",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58486&action_productionview2=Submit
58489,"Fairview, Season 1",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58489&action_productionview2=Submit
58506,"Seven Veils",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58506&action_productionview2=Submit
58512,"Late Bloomer - Season 1",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58512&action_productionview2=Submit
58518,"Nadaamaadis: Red Power Rising",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58518&action_productionview2=Submit
58522,"Davey and Jonesie's Locker - Season 1",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58522&action_productionview2=Submit
58531,"Black Community Mixtapes",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58531&action_productionview2=Submit
58542,"Children Ruin Everything - Season 3",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58542&action_productionview2=Submit
58545,"Meet Me Next Christmas",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58545&action_productionview2=Submit
58553,"Forever Young - Season 3",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58553&action_productionview2=Submit
58559,"Christmas By Candlelight",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58559&action_productionview2=Submit
58565,"We're All Gonna Die - Season 2",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58565&action_productionview2=Submit
58585,"Dancing Detective, The",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58585&action_productionview2=Submit
58592,"Sweater Weather Love",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58592&action_productionview2=Submit
58593,"Sort Of - Season 3",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58593&action_productionview2=Submit
58600,1266,https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58600&action_productionview2=Submit
58613,"Butt Seriously",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58613&action_productionview2=Submit
58616,"Mittens and Pants - Season 2",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58616&action_productionview2=Submit
58622,"Fargo - Season 5 (Sound Post)",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58622&action_productionview2=Submit
58623,"Sincerely Christmas",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58623&action_productionview2=Submit
58628,Wolf,https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58628&action_productionview2=Submit
58645,Monk,https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58645&action_productionview2=Submit
58661,"Swept Up In Christmas",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58661&action_productionview2=Submit
58662,"Matter of Chance, A",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58662&action_productionview2=Submit
58699,"Silent Hour, The",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58699&action_productionview2=Submit
58702,"Everything's Going to be Great",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58702&action_productionview2=Submit
58711,"Aunty B's House",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58711&action_productionview2=Submit
58720,"Wind River: The Next Chapter",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58720&action_productionview2=Submit
58722,"Christmas Revisited",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58722&action_productionview2=Submit
58725,"Farm Crime - Season 3",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58725&action_productionview2=Submit
58766,"Untitled Lilith Fair Documentary",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58766&action_productionview2=Submit
58769,"Shrouds, The",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58769&action_productionview2=Submit
58776,"Murder for Mommy: The Mary Bailey Story",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58776&action_productionview2=Submit
58779,"Swipe Right For Christmas",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58779&action_productionview2=Submit
58801,"Double Quince",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58801&action_productionview2=Submit
58808,"Swing Into Romance",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58808&action_productionview2=Submit
58820,"Chimp - Season 3",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58820&action_productionview2=Submit
58824,"Malory Towers - Season 5 (U.K.)",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58824&action_productionview2=Submit
58838,"How To Work A Crowd",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58838&action_productionview2=Submit
58848,"Gnome for Christmas",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58848&action_productionview2=Submit
